CNPJ;Farmácia;Endereço;Bairro;Cidade;Estado;Latitude;Longitude;EnderecoCompleto
9,57165E+12;DROGARIA DETA LTDA;RUA DOM OSCAR ROMERO, 100 - LJ A;NOVA GAMELEIRA;Belo Horizonte;MG;-19,9377419;-43,9910858;RUA DOM OSCAR ROMERO, 100 - LJ A, NOVA GAMELEIRA, Belo Horizonte, MG, Brasil
4,16768E+13;DROGARIA DJALMA LTDA ME;EXPEDICIONARIO JOSE SILVA;MARIA GORETTI;Belo Horizonte;MG;-19,8633254;-43,9080103;EXPEDICIONARIO JOSE SILVA, MARIA GORETTI, Belo Horizonte, MG, Brasil
2,17215E+13;DROGARIA DO GERSON LTDA;BARAO DO MONTE ALTO;CARDOSO (BARREIRO);Belo Horizonte;MG;-20,0026357;-44,0073804;BARAO DO MONTE ALTO, CARDOSO (BARREIRO), Belo Horizonte, MG, Brasil
5,31683E+12;DROGARIA DO LEO LTDA;PADRE TIAGO DE ALMEIDA;CAMARGOS;Belo Horizonte;MG;-19,9390626;-44,0233368;PADRE TIAGO DE ALMEIDA, CAMARGOS, Belo Horizonte, MG, Brasil
5,89556E+12;DROGARIA DO MARCIANO LTDA - ME;DESEMBARGADOR BRAULIO;VERA CRUZ;Belo Horizonte;MG;-19,9046261;-43,8915653;DESEMBARGADOR BRAULIO, VERA CRUZ, Belo Horizonte, MG, Brasil
5,57621E+12;DROGARIA DOLCE VITA LTDA;VICENTE RISOLA;SANTA INES;Belo Horizonte;MG;-19,8899984;-43,9086241;VICENTE RISOLA, SANTA INES, Belo Horizonte, MG, Brasil
1,73422E+13;DROGARIA DROGATON LTDA. - ME;DO SERTAO;VALE DO JATOBA (BARREIRO);Belo Horizonte;MG;-20,0071507;-44,0384688;DO SERTAO, VALE DO JATOBA (BARREIRO), Belo Horizonte, MG, Brasil
9,51952E+12;DROGARIA E FARMACIA LOGOS LTDA;PITOMBA;ARAGUAIA;Belo Horizonte;MG;-19,9851063;-43,9971099;PITOMBA, ARAGUAIA, Belo Horizonte, MG, Brasil
7,76036E+12;DROGARIA E PERFUMARIA AGUAS COELHO LTDA;JACUI;FLORESTA;Belo Horizonte;MG;-19,9075074;-43,9322657;JACUI, FLORESTA, Belo Horizonte, MG, Brasil
1,09149E+13;DROGARIA E PERFUMARIA ALVES E ALMEIDA LTDA;NOGUEIRA DA GAMA;ALTO DOS PINHEIROS;Belo Horizonte;MG;-19,9285419;-44,0035762;NOGUEIRA DA GAMA, ALTO DOS PINHEIROS, Belo Horizonte, MG, Brasil
2,58447E+13;DROGARIA E PERFUMARIA ANGELO LTDA;ANTONIO EUSTAQUIO PIAZZA;TIROL (BARREIRO);Belo Horizonte;MG;-19,9909094;-44,0452389;ANTONIO EUSTAQUIO PIAZZA, TIROL (BARREIRO), Belo Horizonte, MG, Brasil
1,85358E+13;DROGARIA E PERFUMARIA APOCALIPCE LTDA - EPP;SINFRONIO BROCHADO;BARREIRO;Belo Horizonte;MG;-19,9754012;-44,0134937;SINFRONIO BROCHADO, BARREIRO, Belo Horizonte, MG, Brasil
2,57909E+13;DROGARIA E PERFUMARIA BARÃO HOMEM MELO LTDA;BARAO HOMEM DE MELO;JARDIM AMERICA;Belo Horizonte;MG;-19,9401614;-43,972329;BARAO HOMEM DE MELO, JARDIM AMERICA, Belo Horizonte, MG, Brasil
1,89597E+13;DROGARIA E PERFUMARIA BRENDA LTDA-ME;PADRE PEDRO PINTO;VENDA NOVA;Belo Horizonte;MG;-19,8031725;-43,9983266;PADRE PEDRO PINTO, VENDA NOVA, Belo Horizonte, MG, Brasil
1,15661E+13;DROGARIA E PERFUMARIA CONFISCO LTDA;ARACY GUIMARAES ROSA;CONFISCO;Belo Horizonte;MG;-19,8658209;-44,0197184;ARACY GUIMARAES ROSA, CONFISCO, Belo Horizonte, MG, Brasil
2,59936E+13;DROGARIA E PERFUMARIA DANIELA LTDA ME;JOAQUIM CLEMENTE;FLORAMAR;Belo Horizonte;MG;-19,8396478;-43,9332774;JOAQUIM CLEMENTE, FLORAMAR, Belo Horizonte, MG, Brasil
5,23137E+12;DROGARIA E PERFUMARIA EL SHADAY LTDA - ME;RIO NEGRO;PRADO;Belo Horizonte;MG;-19,9295217;-43,9659775;RIO NEGRO, PRADO, Belo Horizonte, MG, Brasil
